Canton of patients,Cesarean section rate (%),Average age at delivery,Average age at cesarean section,year
UR,26.384364821,31.022801303,32.271604938,2020
SZ,35.044929397,31.750962773,32.509157509,2020
OW,26.098901099,31.862637363,32.463157895,2020
NW,36.387434555,31.704188482,31.762589928,2020
GL,32.294617564,30.8101983,31.596491228,2020
ZG,41.014975042,32.629783694,33.261663286,2020
FR,28.063241107,31.236850106,31.834236186,2020
SO,34.234592445,31.363419483,32.022067364,2020
BS,33.476164971,32.668452062,33.5616,2020
BL,34.097540642,31.959983326,32.684596577,2020
SH,37.69123783,31.803894298,32.782287823,2020
AR,27.151051625,31.41873805,31.725352113,2020
AI,23.270440252,31.578616352,32.675675676,2020
SG,31.142072214,31.160518053,31.889098929,2020
GR,31.525207403,31.801531589,32.350202429,2020
AG,34.049807293,31.470204566,32.25685677,2020
TG,28.883945124,31.363737486,32.124518614,2020
TI,34.133223004,32.644600745,33.792727273,2020
VD,28.234136744,32.015617314,33.153745645,2020
VS,27.211538462,31.286858974,32.46171967,2020
NE,28.45373891,31.463878327,32.371937639,2020
GE,28.693830922,32.641469916,33.933642999,2020
JU,22.270742358,30.719068413,31.941176471,2020
