Region of residence,Geographic MedStat region,Number of deliveries,Number of cesarean sections,Cesarean section rate (%),Average age deliveries,Average age cesarean sections,year
BE45,Fraubrunnen,75,33,44,32.9,33.63,2007
BE46,Utzensdorf,69,27,39.13,32.22,31.08,2007
BE47,Frutigen,133,34,25.56,30.5,30.41,2007
BE48,Adelboden,53,10,18.87,29.6,32,2007
BE49,Interlaken,149,49,32.89,29.83,30.68,2007
BE50,Grindelwald,84,24,28.57,31.38,31.17,2007
BE51,Brienz,97,21,21.65,31.5,33.42,2007
BE52,Worb,100,39,39,29.36,31.06,2007
BE53,Grosshöchstetten,99,40,40.4,30.68,32.27,2007
BE54,Konolfingen,109,44,40.37,31.19,30.53,2007
BE55,Münsingen,83,20,24.1,30.38,33,2007
BE56,Oberdiessbach,116,42,36.21,30.84,32.79,2007
BE57,La neuveville,68,23,33.82,32.2,34.21,2007
BE58,Laupen,94,40,42.55,31.65,31.44,2007
BE59,Neuenegg,50,16,32,28.9,30,2007
BE60,Moutier,106,21,19.81,28.87,31.67,2007
BE61,Tavannes,122,26,21.31,31,31.93,2007
BE62,Brügg,70,31,44.29,29.65,30.87,2007
BE63,Port,79,25,31.65,30.9,32.17,2007
BE64,Nidau,57,13,22.81,29.95,30.91,2007
BE65,Ipsach,92,38,41.3,32.1,32.06,2007
BE66,Spiez,105,24,22.86,30.41,30.14,2007
BE67,Niedersimmental,89,19,21.35,31.5,32.73,2007
BE68,Oberhasli,62,16,25.81,30.32,32.22,2007
BE69,Obersimmental,71,12,16.9,31.7,32.1,2007
BE70,Saanen,86,23,26.74,30.9,30.5,2007
BE71,Schwarzenburg,95,31,32.63,33.19,34.4,2007
BE72,Kehrsatz,57,21,36.84,30.8,29.64,2007
BE73,Belp,84,29,34.52,30.83,31.93,2007
BE74,Seftigen,123,41,33.33,32.4,31.44,2007
BE75,Langnau im Emmental,120,33,27.5,29,31.13,2007
BE76,Signau,112,35,31.25,29.54,31,2007
BE77,Thun-City 1,130,21,16.15,31.45,32.55,2007
BE78,Thun-City 2,158,41,25.95,31.12,32.22,2007
BE79,Steffisburg,138,39,28.26,29,32.69,2007
BE80,Hilterfingen,80,24,30,32.35,33.5,2007
BE81,Uetendorf,107,30,28.04,30.9,30.62,2007
BE82,Sigriswil,77,18,23.38,31.5,30.58,2007
BE83,Tierachern,91,27,29.67,30.06,30.83,2007
BE84,Trachselwald,78,23,29.49,33,31.92,2007
BE85,Sumiswald,95,25,26.32,30.7,31.33,2007
BE86,Wangen,42,17,40.48,31.18,31.38,2007
BE87,Niederbipp,51,19,37.25,28.48,28.29,2007
BE88,Herzogenbuchsee,58,26,44.83,29.71,29.82,2007
BE89,Seeberg,46,16,34.78,30.3,28.5,2007
LU01,0A Luzern,505,182,36.04,31.04,31.5,2007
LU02,1A Horw,93,27,29.03,31.27,32.27,2007
LU03,1B Kriens,205,67,32.68,30.96,30.68,2007
LU04,1C Littau,195,74,37.95,31.07,30.71,2007
LU05,1D Emmenbrücke,284,92,32.39,30.04,30.58,2007
LU06,1E Rothenburg,66,17,25.76,32.31,32.78,2007
LU07,1F Ebikon,101,34,33.66,30.45,30.24,2007
LU08,1G Buchrain,60,24,40,31.86,32.87,2007
LU09,1H Root,95,32,33.68,30.18,30.06,2007
LU10,1I Adligenswil,52,15,28.85,32.44,32.9,2007
LU11,1J Meggen,43,16,37.21,31.81,32.33,2007
LU12,1K Malters,62,16,25.81,31.56,31.27,2007
LU13,1L Hiltisrieden,72,23,31.94,30.94,32.08,2007
LU14,2A Hochdorf,91,23,25.27,29.5,29.06,2007
LU15,2B Hohenrain,54,12,22.22,31.11,31.44,2007
LU16,2C Hitzkirch,86,22,25.58,32,34.38,2007
LU17,3A Neuenkirch,74,18,24.32,31.55,33.5,2007
LU18,3B Nottwil,98,34,34.69,32.29,32.06,2007
LU19,3C Sursee,94,33,35.11,30.5,32.75,2007
LU20,3D Oberkirch,117,37,31.62,30.08,31.11,2007
LU21,3E Triengen,65,18,27.69,29.05,28.9,2007
LU22,3F Beromünster,84,20,23.81,29.74,30.71,2007
LU23,4A Wollhusen,54,14,25.93,29.79,29.55,2007
LU24,4B Ruswil,43,8,18.6,30.17,34.17,2007
LU25,4C Buttisholz,71,19,26.76,31,31,2007
LU26,5A Nebikon,83,28,33.73,31.73,31.71,2007
LU27,5B Schötz,63,17,26.98,29.15,30.82,2007
LU28,5C Willisau,101,27,26.73,31,30.39,2007
LU29,5D Hergiswil bei Willisau,73,18,24.66,30.5,31.9,2007
LU30,6A Entlebuch,51,13,25.49,28.59,27.27,2007
LU31,6B Escholzmatt,41,9,21.95,30.18,31,2007
LU32,6C Schüpfheim,40,6,15,29.31,32.25,2007
LU33,7A Rieden,73,28,38.36,29.05,30.29,2007
LU34,7B Pfaffnau,71,28,39.44,28.73,28.94,2007
LU35,8A Weggis,47,15,31.91,32.53,34.11,2007
UR01,Altdorf,68,19,27.94,30,30.5,2007
UR02,Flüelen,69,21,30.43,30.65,30.92,2007
UR03,Schattdorf,59,22,37.29,30.5,30.13,2007
UR04,Bürglen,45,18,40,31.05,30.42,2007
